股 利 政 策 單位：元
"年　度","現 金 股 利","盈 餘 配 股","公 積 配 股","股 票 股 利","合　計",
"102","1.80","1.20","0.00","1.20","3.00",
"101","1.50","1.00","0.00","1.00","2.50",
"100","1.50","1.00","0.00","1.00","2.50",
"99","1.00","1.00","0.00","1.00","2.00",
"98","2.00","1.20","0.00","1.20","3.20",
"97","1.10","1.50","0.00","1.50","2.60",
"96","3.00","1.50","0.00","1.50","4.50",
"95","3.00","2.00","0.00","2.00","5.00",
"94","3.00","2.00","0.00","2.00","5.00",
"93","2.45","1.96","0.00","1.96","4.41",
