									民國104年1-3月											單位：新臺幣千元	
									Jan-Mar 2015											"UNIT：NT$ 1,000"	
		營業收入			營業利益		營業外收入及支出合計		稅後純益			本期末	每股稅後純益(元)		每  股	淨值佔	流動	速動	稅前純益		
公司名稱		Operating Revenues			Income (Lose) from Operation		Total non-operating income and expenses		Net Income after Tax			股本	Net Income Per Share		淨 值	總資產	比率	比率	Net Income before Tax		
Code&Name		104年1-3月	103年1-3月	增減	104年1-3月	103年1-3月	104年1-3月	103年1-3月	104年1-3月	103年1-3月	增減	Capital Stock	104年1-3月	103年1-3月	(元)	(%)		Quick	104年1-3月	103年1-3月	增減
		Jan-Mar 2015	Jan-Mar 2014	(%)	Jan-Mar 2015	Jan-Mar 2014	Jan-Mar 2015	Jan-Mar 2014	Jan-Mar 2015	Jan-Mar 2014	(%)	End of Period	Jan-Mar 2015	Jan-Mar 2014	(A)	(B)	(C)	Ratio	Jan-Mar 2015	Jan-Mar 2014	(%)
																					
01	水泥類	"41,519,581 "	"48,277,989 "	(14.00)	"2,821,040 "	"5,625,744 "	"779,935 "	"433,425 "	"2,555,409 "	"3,699,931 "	(30.93)	"98,441,609 "	0.19 	0.26 	32.32 	48.45 	1.32 	1.06 	"3,600,975 "	"6,059,169 "	(40.57)
	Cement																				
1101	台泥	"21,440,142 "	"26,716,227 "	(19.75)	"1,693,508 "	"3,684,224 "	"(223,641)"	"(133,378)"	"808,778 "	"1,833,139 "	(55.88)	"36,921,759 "	0.22 	0.50 	32.04 	40.83 	1.33 	1.09 	"1,469,867 "	"3,550,846 "	(58.61)
1102	亞泥	"15,362,530 "	"16,256,080 "	(5.50)	"1,037,375 "	"1,637,619 "	"807,325 "	"376,460 "	"1,468,473 "	"1,439,813 "	1.99 	"33,614,472 "	0.47 	0.46 	43.88 	51.28 	1.12 	0.93 	"1,844,700 "	"2,014,079 "	(8.41)
1103	嘉泥	"671,355 "	"1,019,429 "	(34.14)	"(185,767)"	"(42,587)"	"(23,780)"	798 	"(187,780)"	"(39,384)"		"7,768,285 "	(0.29)	(0.06)	25.92 	51.36 	3.45 	2.58 	"(209,547)"	"(41,789)"	
1104	環泥	"1,327,430 "	"1,379,161 "	(3.75)	"24,580 "	"47,354 "	"245,154 "	"204,613 "	"263,305 "	"239,661 "	9.87 	"6,159,697 "	0.43 	0.39 	25.90 	80.92 	1.15 	0.92 	"269,734 "	"251,967 "	7.05 
1108	幸福	"1,290,902 "	"1,219,347 "	5.87 	"198,438 "	"102,969 "	"(11,492)"	"(16,590)"	"156,298 "	"73,015 "	114.06 	"4,047,380 "	0.39 	0.18 	11.72 	57.78 	2.55 	0.68 	"186,946 "	"86,379 "	116.43 
1109	信大	"951,789 "	"1,192,024 "	(20.15)	"20,166 "	"141,243 "	"(12,332)"	"(5,246)"	"10,502 "	"85,720 "	(87.75)	"4,210,008 "	0.02 	0.20 	14.16 	65.76 	3.45 	2.12 	"7,834 "	"135,997 "	(94.24)
1110	東泥	"475,433 "	"495,721 "	(4.09)	"32,740 "	"54,922 "	"(1,299)"	"6,768 "	"35,833 "	"67,967 "	(47.28)	"5,720,008 "	0.06 	0.12 	15.65 	92.43 	7.74 	4.77 	"31,441 "	"61,690 "	(49.03)
																					
02	食品類	"166,192,438 "	"170,282,252 "	(2.40)	"8,805,058 "	"7,828,156 "	"2,500,351 "	"3,398,731 "	"6,575,496 "	"7,058,451 "	(6.84)	"118,249,147 "	0.42 	0.47 	18.51 	33.57 	1.16 	0.63 	"11,305,409 "	"11,226,887 "	0.70 
	Foods																				
1201	味全	"4,742,993 "	"6,611,781 "	(28.26)	"(305,420)"	"395,127 "	"(57,183)"	"(74,415)"	"(293,436)"	"254,496 "		"5,060,629 "	(0.58)	0.50 	14.85 	19.48 	0.96 	0.24 	"(362,603)"	"320,712 "	
1203	味王	"1,654,449 "	"1,498,954 "	10.37 	"184,677 "	"177,191 "	"72,209 "	(956)	"118,298 "	"85,357 "	38.59 	"2,400,000 "	0.50 	0.36 	18.57 	53.18 	2.82 	1.44 	"256,886 "	"176,235 "	45.76 
1210	大成	"20,079,300 "	"21,742,705 "	(7.65)	"212,731 "	"425,758 "	"(29,658)"	"47,587 "	"158,238 "	"356,947 "	(55.67)	"7,363,944 "	0.23 	0.52 	20.69 	34.10 	1.36 	0.55 	"183,073 "	"473,345 "	(61.32)
1213	大飲	"182,697 "	"166,032 "	10.04 	"12,484 "	"5,729 "	"1,111 "	934 	"11,069 "	"3,780 "	192.83 	"514,751 "	0.22 	0.07 	13.08 	79.79 	3.18 	2.90 	"13,595 "	"6,663 "	104.04 
