									民國103年1-9月											單位：新臺幣千元	
									Jan-Sep 2014											"UNIT：NT$ 1,000"	
		營業收入			營業利益		營業外收入及支出合計		稅後純益			本期末	每股稅後純益		"每  股
淨  值"	淨值佔	流動	速動	稅前純益		
公司名稱		Operating Revenues			Income (Lose) from Operation		Total non-operating income and expenses		Net Income after Tax			股本	Net Income Per Share			總資產	比率	比率	Net Income before Tax		
Code&Name		103年1-9月	102年1-9月	"增減
(%)"	103年1-9月	102年1-9月	103年1-9月	102年1-9月	103年1-9月	102年1-9月	"增減
(%)"	Capital Stock	103年1-9月	102年1-9月	"(元)
(A)"	"(%)
(B)"		Quick	103年1-9月	102年1-9月	"增減
(%)"
		Jan-Sep 2014	Jan-Sep 2013		Jan-Sep 2014	Jan-Sep 2013	Jan-Sep 2014	Jan-Sep 2013	Jan-Sep 2014	Jan-Sep 2013		End of Period	Jan-Sep 2014	Jan-Sep 2013			(C)	Ratio	Jan-Sep 2014	Jan-Sep 2013	
																					
01	水泥類	"161,827,114 "	"146,994,414 "	10.09 	"21,780,354 "	"16,429,202 "	"5,990,215 "	"6,615,316 "	"17,343,610 "	"15,345,553 "	13.02 	"98,441,609 "	1.15 	0.96 	30.15 	47.39 	1.14 	0.90 	"27,770,569 "	"23,044,518 "	20.51 
	Cement																				
1101	台泥	"88,684,641 "	"82,891,070 "	6.99 	"15,166,705 "	"12,526,355 "	"766,761 "	"941,629 "	"8,244,719 "	"7,594,015 "	8.57 	"36,921,759 "	2.23 	2.06 	30.20 	39.45 	1.13 	0.94 	"15,933,466 "	"13,467,984 "	18.31 
1102	亞泥	"57,234,891 "	"49,722,594 "	15.11 	"5,890,621 "	"3,668,112 "	"3,723,693 "	"4,420,406 "	"7,198,698 "	"6,274,339 "	14.73 	"33,614,472 "	2.29 	2.00 	39.81 	50.69 	0.96 	0.77 	"9,614,314 "	"8,088,518 "	18.86 
1103	嘉泥	"2,818,004 "	"2,738,060 "	2.92 	"(207,081)"	"(349,186)"	"430,012 "	"536,310 "	"150,116 "	"237,079 "	(36.68)	"7,768,285 "	0.23 	0.37 	26.65 	50.74 	2.08 	1.51 	"222,931 "	"187,124 "	19.14 
1104	環泥	"4,242,326 "	"3,760,641 "	12.81 	"131,024 "	"66,157 "	"983,212 "	"712,871 "	"1,045,732 "	"754,850 "	38.54 	"6,159,697 "	1.70 	1.22 	24.37 	80.85 	1.33 	1.09 	"1,114,236 "	"779,028 "	43.03 
1108	幸福	"3,732,290 "	"3,521,208 "	5.99 	"343,590 "	"253,500 "	"15,727 "	"(48,262)"	"305,953 "	"171,007 "	78.91 	"4,047,380 "	0.76 	0.42 	11.12 	53.51 	2.64 	0.65 	"359,317 "	"205,238 "	75.07 
1109	信大	"3,629,205 "	"2,911,968 "	24.63 	"360,120 "	"107,161 "	"(3,505)"	"37,682 "	"230,666 "	"127,657 "	80.69 	"4,210,008 "	0.55 	0.30 	13.95 	64.52 	1.45 	0.88 	"356,615 "	"144,843 "	146.21 
1110	東泥	"1,485,757 "	"1,448,873 "	2.55 	"95,375 "	"157,103 "	"74,315 "	"14,680 "	"167,726 "	"186,606 "	(10.12)	"5,720,008 "	0.29 	0.33 	15.56 	91.91 	5.78 	3.71 	"169,690 "	"171,783 "	(1.22)
																					
02	食品類	"526,235,759 "	"522,438,165 "	0.73 	"22,585,302 "	"21,391,596 "	"5,728,889 "	"8,303,103 "	"16,796,536 "	"16,853,439 "	(0.34)	"118,279,487 "	1.24 	0.95 	17.52 	32.57 	1.13 	0.63 	"28,314,191 "	"29,694,699 "	(4.65)
	Foods																				
1201	味全	"21,764,292 "	"22,540,133 "	(3.44)	"987,289 "	"1,124,107 "	"(414,044)"	"(44,284)"	"375,283 "	"832,048 "	(54.90)	"5,060,629 "	0.74 	1.64 	16.61 	21.12 	1.14 	0.36 	"573,245 "	"1,079,823 "	(46.91)
1203	味王	"4,514,173 "	"4,662,513 "	(3.18)	"399,797 "	"364,607 "	"(2,387)"	"50,526 "	"194,717 "	"258,761 "	(24.75)	"2,400,000 "	0.82 	1.09 	17.73 	51.07 	2.14 	0.91 	"397,410 "	"415,133 "	(4.27)
1210	大成	"67,482,423 "	"65,599,619 "	2.87 	"1,078,822 "	"533,474 "	"478,002 "	"299,693 "	"1,167,119 "	"610,112 "	91.30 	"7,363,944 "	1.71 	1.16 	19.84 	33.19 	1.31 	0.56 	"1,556,824 "	"833,167 "	86.86 
1213	大飲	"567,749 "	"591,595 "	(4.03)	"19,247 "	"27,561 "	"5,088 "	"2,583 "	"18,317 "	"24,707 "	(25.86)	"514,751 "	0.36 	0.48 	13.02 	76.15 	2.63 	2.42 	"24,335 "	"30,144 "	(19.27)
1215	卜蜂	"13,008,758 "	"13,404,792 "	(2.95)	"676,863 "	"284,352 "	"36,626 "	"28,915 "	"550,008 "	"247,527 "	122.20 	"2,436,282 "	2.26 	1.02 	21.00 	54.49 	1.28 	0.65 	"713,489 "	"313,267 "	127.76 
1216	統一	"327,273,397 "	"325,527,671 "	0.54 	"15,410,344 "	"15,074,940 "	"3,202,016 "	"6,339,349 "	"9,197,606 "	"10,976,532 "	(16.21)	"54,634,763 "	1.68 	2.01 	16.08 	22.24 	0.95 	0.55 	"18,612,360 "	"21,414,289 "	(13.08)
1217	愛之味	"3,509,907 "	"3,564,792 "	(1.54)	"(264,858)"	"56,774 "	"(72,983)"	"(122,386)"	"(314,548)"	"(81,115)"		"4,976,893 "	(0.65)	(0.17)	10.97 	37.77 	0.85 	0.66 	"(337,841)"	"(65,612)"	
1218	泰山	"7,062,840 "	"7,221,061 "	(2.19)	"(63,979)"	"(129,285)"	"146,530 "	"219,994 "	"74,833 "	"73,123 "	2.34 	"3,533,360 "	0.22 	0.22 	9.98 	38.98 	1.43 	0.99 	"82,551 "	"90,709 "	(8.99)
1219	福壽	"7,803,616 "	"7,727,851 "	0.98 	"30,268 "	"(71,627)"	"29,737 "	"25,393 "	"53,894 "	"(38,035)"		"3,131,882 "	0.17 	(0.12)	11.89 	62.10 	3.56 	2.02 	"60,005 "	"(46,234)"	
1220	台榮	"2,497,984 "	"2,615,577 "	(4.50)	"46,238 "	"64,006 "	"12,742 "	"10,917 "	"57,439 "	"61,480 "	(6.57)	"1,770,779 "	0.32 	0.35 	11.87 	69.11 	3.72 	2.47 	"58,980 "	"74,923 "	(21.28)
1225	福懋油	"9,150,565 "	"10,606,966 "	(13.73)	"22,082 "	"80,803 "	"(32,893)"	"(25,280)"	"(24,106)"	"36,108 "		"2,112,530 "	(0.12)	0.19 	11.62 	37.85 	1.27 	0.64 	"(10,811)"	"55,523 "	
1227	佳格	"15,792,969 "	"15,090,860 "	4.65 	"1,837,119 "	"1,616,535 "	"63,089 "	"132,953 "	"1,566,517 "	"1,438,717 "	8.88 	"7,206,338 "	2.19 	2.01 	15.75 	68.81 	2.55 	1.60 	"1,900,208 "	"1,749,488 "	8.62 
1229	聯華	"3,913,753 "	"3,926,563 "	(0.33)	"143,291 "	"133,863 "	"1,469,698 "	"903,021 "	"1,559,458 "	"980,359 "	59.07 	"8,545,383 "	1.83 	1.15 	24.45 	81.99 	0.86 	0.51 	"1,612,989 "	"1,036,884 "	55.56 
1231	聯華食	"4,380,197 "	"4,019,155 "	8.98 	"89,861 "	"188,726 "	"23,259 "	"82,463 "	"96,817 "	"221,087 "	(56.21)	"1,481,131 "	0.65 	1.49 	16.72 	40.44 	1.46 	0.79 	"113,120 "	"271,189 "	(58.29)
1232	大統益	"16,344,542 "	"14,700,294 "	11.19 	"657,933 "	"536,049 "	"57,263 "	"63,491 "	"585,258 "	"497,927 "	17.54 	"1,599,749 "	3.66 	3.11 	19.56 	78.04 	4.60 	1.84 	"715,196 "	"599,540 "	19.29 
1233	天仁	"1,605,464 "	"1,531,201 "	4.85 	"196,734 "	"194,754 "	"24,026 "	"25,996 "	"182,215 "	"182,764 "	(0.30)	"905,919 "	2.01 	2.02 	15.21 	71.21 	1.80 	1.06 	"220,760 "	"220,750 "	0.00 
1234	黑松	"4,688,910 "	"5,321,800 "	(11.89)	"33,129 "	"126,208 "	"361,222 "	"388,174 "	"313,833 "	"(177,160)"		"4,018,711 "	0.78 	(0.34)	43.00 	79.46 	3.87 	2.98 	"394,351 "	"514,382 "	(23.33)
1235	興泰	"145,605 "	"189,862 "	(23.31)	"(16,875)"	"(9,767)"	"154,207 "	"(26,536)"	"136,785 "	"(38,760)"		"561,688 "	2.53 	(0.72)	29.50 	61.41 	2.04 	1.96 	"137,332 "	"(36,303)"	
1236	宏亞	"1,753,667 "	"1,860,306 "	(5.73)	"13,811 "	"99,675 "	"121,023 "	"(43,685)"	"128,644 "	"52,687 "	144.17 	"1,083,425 "	1.19 	0.49 	17.42 	61.19 	1.71 	1.17 	"134,834 "	"55,990 "	140.82 
1702	南僑	"11,023,916 "	"9,942,128 "	10.88 	"1,156,242 "	"1,014,252 "	"14,335 "	"(17,490)"	"715,187 "	"617,192 "	15.88 	"2,941,330 "	2.88 	2.49 	19.01 	29.10 	1.13 	0.82 	"1,170,577 "	"996,762 "	17.44 
1737	臺鹽	"1,951,032 "	"1,793,426 "	8.79 	"131,944 "	"81,589 "	"52,333 "	"9,296 "	"161,260 "	"77,378 "	108.41 	"2,000,000 "	0.81 	0.28 	28.94 	92.37 	6.05 	5.01 	"184,277 "	"90,885 "	102.76 
																					
03	塑膠類	"968,042,679 "	"945,624,910 "	2.37 	"25,794,310 "	"39,401,244 "	"53,518,014 "	"37,472,840 "	"68,783,131 "	"63,652,890 "	8.06 	"304,931,160 "	1.46 	1.62 	33.79 	55.57 	2.47 	1.80 	"79,312,324 "	"76,874,084 "	3.17 
	Plastics																				
1301	台塑	"166,359,729 "	"159,479,008 "	4.31 	"3,922,525 "	"2,675,364 "	"16,934,206 "	"14,104,640 "	"18,494,908 "	"15,086,924 "	22.59 	"63,657,408 "	2.91 	2.37 	43.12 	64.19 	2.84 	2.30 	"20,856,731 "	"16,780,004 "	24.30 
1303	南亞	"245,576,449 "	"230,543,005 "	6.52 	"9,552,880 "	"11,362,330 "	"20,591,350 "	"11,397,733 "	"28,730,867 "	"18,868,859 "	52.27 	"79,308,216 "	3.62 	2.38 	38.67 	57.03 	3.26 	2.44 	"30,144,230 "	"22,760,063 "	32.44 
