									民國103年1-12月											單位：新臺幣千元	
									Jan-Dec 2014											"UNIT：NT$ 1,000"	
		營業收入			營業利益		營業外收入及支出合計		稅後純益			本期末	每股稅後純益		每  股	淨值佔	流動	速動	稅前純益		
公司名稱		Operating Revenues			Income (Lose) from Operation		Total non-operating income and expenses		Net Income after Tax			股本	Net Income Per Share		淨 值	總資產	比率	比率	Net Income before Tax		
Code&Name		103年1-12月	102年1-12月	增減	103年1-12月	102年1-12月	103年1-12月	102年1-12月	103年1-12月	102年1-12月	增減	Capital Stock	103年1-12月	102年1-12月	(元)	(%)		Quick	103年1-12月	102年1-12月	增減
		Jan-Dec 2014	Jan-Dec 2013	(%)	Jan-Dec 2014	Jan-Dec 2013	Jan-Dec 2014	Jan-Dec 2013	Jan-Dec 2014	Jan-Dec 2013	(%)	End of Period	Jan-Dec 2014	Jan-Dec 2013	(A)	(B)	(C)	Ratio	Jan-Dec 2014	Jan-Dec 2013	(%)
																					
3535	晶彩科	"740,537 "	"419,984 "	76.33 	"(38,700)"	"(122,570)"	"7,987 "	"(8,133)"	"(36,507)"	"(116,090)"		"785,978 "	(0.46)	(1.48)	11.22 	49.43 	2.36 	1.63 	"(30,713)"	"(130,703)"	
3536	誠創	"1,383,276 "	"1,059,719 "	30.53 	"(79,012)"	"(164,854)"	"(405,819)"	"34,201 "	"(497,307)"	"(142,096)"		"868,000 "	(5.73)	(1.64)	6.20 	39.38 	1.26 	0.75 	"(484,831)"	"(130,653)"	
3557	嘉威	"862,624 "	"1,092,677 "	(21.05)	"(148,326)"	"(214,017)"	"(165,157)"	"(60,023)"	"(387,055)"	"(283,428)"		"1,094,342 "	(3.54)	(2.59)	7.18 	59.60 	2.03 	1.50 	"(313,483)"	"(274,040)"	
3561	昇陽科	"9,641,538 "	"7,020,681 "	37.33 	"191,612 "	"23,801 "	"(39,569)"	"(447,905)"	"152,020 "	"(369,665)"		"3,715,844 "	0.42 	(1.18)	22.51 	59.89 	1.67 	1.05 	"152,043 "	"(424,104)"	
3573	穎台	"4,143,742 "	"4,510,380 "	(8.13)	"(262,442)"	"(158,875)"	"(17,539)"	"64,345 "	"(280,891)"	"(95,130)"		"1,400,465 "	(1.96)	(0.65)	38.95 	75.28 	2.01 	1.44 	"(279,981)"	"(94,530)"	
3576	新日光	"27,580,249 "	"20,084,253 "	37.32 	"247,524 "	"314,357 "	"(25,535)"	"185,062 "	"218,562 "	"502,480 "	(56.50)	"8,562,770 "	0.28 	0.86 	24.82 	56.95 	2.11 	1.64 	"221,989 "	"499,419 "	(55.55)
3584	介面	"9,875,885 "	"8,440,496 "	17.01 	"(528,795)"	"(499,054)"	"83,102 "	"131,488 "	"(468,004)"	"(388,416)"		"1,376,682 "	(3.40)	(2.96)	15.26 	23.21 	0.79 	0.69 	"(445,693)"	"(367,566)"	
3591	艾笛森	"2,947,217 "	"2,735,952 "	7.72 	"(105,989)"	"(68,821)"	"43,656 "	"(162,361)"	"(42,958)"	"(162,271)"		"1,327,632 "	(0.34)	(1.42)	30.33 	68.15 	1.79 	1.25 	"(62,333)"	"(231,182)"	
3593	力銘	"92,060 "	"223,653 "	(58.84)	"(208,338)"	"(395,776)"	"12,886 "	"(61,986)"	"(206,774)"	"(464,780)"		"1,127,431 "	(1.83)	(4.12)	9.65 	62.00 	0.85 	0.63 	"(195,452)"	"(457,762)"	
3622	洋華	"5,193,816 "	"8,269,675 "	(37.19)	"(1,030,071)"	"(647,500)"	"(702,081)"	"(803,968)"	"(1,803,900)"	"(1,627,463)"		"1,513,276 "	(11.92)	(10.76)	44.89 	80.35 	2.31 	1.94 	"(1,732,152)"	"(1,451,468)"	
3669	圓展	"1,825,611 "	"1,648,644 "	10.73 	"27,044 "	"(6,185)"	"10,107 "	"17,244 "	"21,010 "	"(47,654)"		"982,370 "	0.20 	(0.50)	25.79 	85.87 	3.48 	2.87 	"37,151 "	"11,059 "	235.93 
3673	F-TPK	"129,516,919 "	"159,067,439 "	(18.58)	"144,886 "	"9,991,170 "	"430,526 "	"(1,086,987)"	"277,067 "	"7,188,503 "	(96.15)	"3,312,948 "	0.84 	21.90 	136.84 	29.68 	0.78 	0.70 	"575,412 "	"8,904,183 "	(93.54)
3698	隆達	"14,517,137 "	"13,751,666 "	5.57 	"800,846 "	"534,242 "	"(61,439)"	"550,654 "	"629,860 "	"979,563 "	(35.70)	"6,229,538 "	1.17 	1.91 	23.83 	61.12 	2.46 	1.89 	"739,407 "	"1,084,896 "	(31.85)
4934	太極	"6,553,928 "	"5,147,861 "	27.31 	"113,593 "	"243,904 "	"54,357 "	"(34,045)"	"175,184 "	"218,534 "	(19.84)	"2,765,450 "	0.66 	1.04 	16.18 	62.36 	1.28 	0.88 	"167,950 "	"209,859 "	(19.97)
4935	F-茂林	"6,241,573 "	"4,446,752 "	40.36 	"591,627 "	"206,706 "	"66,674 "	"41,050 "	"582,437 "	"217,069 "	168.32 	"1,394,251 "	4.52 	1.57 	43.57 	71.30 	2.44 	1.92 	"658,301 "	"247,756 "	165.71 
4942	嘉彰	"9,440,661 "	"9,555,626 "	(1.20)	"448,977 "	"706,642 "	"87,039 "	"(38,524)"	"393,741 "	"498,501 "	(21.02)	"1,523,046 "	2.59 	3.27 	54.27 	68.51 	2.47 	1.97 	"536,016 "	"668,118 "	(19.77)
4956	光鋐	"1,560,960 "	"1,322,658 "	18.02 	"119,630 "	"71,530 "	"13,582 "	"(2,462)"	"115,399 "	"60,468 "	90.84 	"1,004,082 "	1.15 	0.60 	20.48 	63.19 	3.53 	2.57 	"133,212 "	"69,068 "	92.87 
4960	奇美材	"15,818,286 "	"17,852,579 "	(11.39)	"2,179,655 "	"2,396,365 "	"493,198 "	"315,853 "	"2,248,561 "	"2,446,292 "	(8.08)	"5,157,285 "	4.36 	4.74 	25.33 	72.69 	2.30 	1.81 	"2,672,853 "	"2,712,218 "	(1.45)
